,count,sample,catalogue,Taxo_level,species,genus,family,order,class,phylum,superkingdom,knowledge
64,533,msp_0069,gut & oral,species,Bacteroides vulgatus,Bacteroides 3,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
71,505,msp_0076,gut,species,Blautia wexlerae,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
42,502,msp_0046,gut,species,Bacteroides uniformis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
10,438,msp_0012,gut,species,Parabacteroides distasonis,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
146,436,msp_0154,gut,species,Fusicatenibacter saccharivorans,Fusicatenibacter,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
1100,415,msp_1244,gut,species,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,known
101,409,msp_0107,gut,species,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
63,401,msp_0068,gut,species,Agathobacter rectale,Agathobacter,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
366,394,msp_0388,gut,species,Faecalibacterium prausnitzii 3 [F. longum],Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
715,381,msp_0769,gut,species,Agathobaculum butyriciproducens,Agathobaculum,Butyricicoccaceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,known
197,365,msp_0208,gut,species,[Ruminococcus] sp. Marseille-P328 & Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
9,364,msp_0011,gut,species,Bacteroides thetaiotaomicron,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
284,360,msp_0301,gut,species,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
443,357,msp_0468,gut,species,Firmicutes bacterium CAG:41 / [Clostridium] sp. 2789STDY5834935 & sp. 2789STDY5608853,unclassified Monoglobales UBA1381,Monoglobales UBA1381,Monoglobales,Clostridia,Firmicutes,Bacteria,unknown
367,355,msp_0389,gut,species,Faecalibacterium prausnitzii 4,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
67,354,msp_0072,gut,species,Roseburia inulinivorans,Roseburia,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
24,353,msp_0027,gut,species,Parabacteroides merdae,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
119,350,msp_0126,gut,species,[Ruminococcus] torques,Mediterraneibacter,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
353,348,msp_0374,gut,species,Gemmiger formicilis,Gemmiger,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
412,345,msp_0436,gut,species,Blautia obeum,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
1579,343,msp_0166,gut & oral,species,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Actinomycetales,Actinobacteria,Actinobacteriota,Bacteria,known
117,342,msp_0124,gut,species,[Candidatus Cibiobacter] qucibialis,Gemmiger,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
313,342,msp_0331,gut,species,Dysosmobacter welbionis,Dysosmobacter - Oscillibacter,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,known
478,341,msp_0506,gut,species,Dorea formicigenerans,Dorea,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
84,334,msp_0090,gut,species,Alistipes putredinis,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
200,334,msp_0213,gut,species,Flavonifractor plautii,Flavonifractor,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,known
5,332,msp_0007,gut,species,Bacteroides ovatus,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
245,331,msp_0259,gut,species,Coprococcus comes,Coprococcus B,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
104,327,msp_0110,gut,species,Bilophila wadsworthia,Bilophila,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota,Bacteria,known
825,322,msp_0893,gut,species,Faecalibacterium prausnitzii 2 [F. moorei],Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
134,320,msp_0141,gut,species,Blautia massiliensis,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
327,319,msp_0346,gut,species,Lachnoclostridium sp. SNUG30386 / [Clostridium] sp. CAG:43,Lachnoclostridium,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
144,310,msp_0152,gut,species,Mediterraneibacter faecis,Mediterraneibacter,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
