catalogue	Taxo_level	species	genus	family	order	class	phylum	superkingdom	knowledge	
msp_0001	gut	species	Blastocystis sp. subtype 3	Blastocystis	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	known
msp_0002	gut	species	Blastocystis sp. subtype 1	Blastocystis	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	known
msp_0003	gut	species	Bacteroides cellulosilyticus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0004	gut	species	Blastocystis sp. subtype 2	Blastocystis	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	known
msp_0005	gut & oral	species	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	known
msp_0006	gut	species	Blastocystis sp. subtype 4	Blastocystis	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	known
msp_0007	gut	species	Bacteroides ovatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0008	gut	species	Bacteroides intestinalis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0009	gut	species	Enterocloster bolteae	Enterocloster	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0010	gut	species	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0011	gut	species	Bacteroides thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0012	gut	species	Parabacteroides distasonis	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0013	gut	species	Ruminococcus bicirculans	Ruminococcus 2	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	known
msp_0014	gut	species	Eisenbergiella tayi	Eisenbergiella	Lachnospiraceae G	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0015	gut	species	Agathobacter faecis	Agathobacter	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0016	gut	species	Bacteroides plebeius	Bacteroides 2	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0017	gut	species	Roseburia intestinalis	Roseburia	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0018	gut	species	Eisenbergiella massiliensis	Eisenbergiella	Lachnospiraceae G	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0019	gut	species	Bacteroides faecis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0020	gut	species	Enterocloster clostridioformis	Enterocloster	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0021	gut	species	Bacteroides xylanisolvens	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0022	gut	species	Bacteroides finegoldii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0023	gut	species	Bacteroides caccae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0024	gut	species	Hungatella effluvii	Hungatella	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0025	gut	species	Akkermansia muciniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota	Bacteria	known
msp_0027	gut	species	Parabacteroides merdae	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0028	gut	species	Parabacteroides goldsteinii	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0029	gut	species	[Eubacterium] eligens	Lachnospira	Lachnospiraceae H	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0031	gut	species	Bacteroides stercoris	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0032	gut	species	Alistipes onderdonkii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0033	gut	species	Bacteroides fragilis 2	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0034	gut	species	[Faecalibacterium] sp. CAG:74	unclassified Christensenellales CAG-74	Christensenellales CAG-74	Christensenellales	Clostridia	Firmicutes	Bacteria	unknown
msp_0035	gut	species	Bacteroides dorei	Bacteroides 3	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0036	gut	species	Bacteroides eggerthii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0037	gut	species	Bacteroides salyersiae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0038	gut	family	unclassified Victivallales UBA1829	unclassified Victivallales UBA1829	Victivallales UBA1829	Victivallales	Lentisphaeria	Verrucomicrobiota	Bacteria	unknown
msp_0039	gut	species	Lachnospiraceae bacterium hRUG904 / Clostridiales bacterium RUG495 / [Clostridium] sp. CAG:127	Lachnospiraceae A RUG495	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0040	gut	species	Bacteroides massiliensis	Bacteroides 3	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0041	gut	species	Prevotella copri	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
